	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_053060	0.831905331731587	0.168094668268413	0.854313897013666	0.854295018609254	3520.5297839135	4120.97830875164
gene:Smp_053120	0.262719147111438	0.737280852888562	0.838797708266799	0.838565798036992	311.259803816808	371.183059084288
gene:Smp_053130	0.998350874082668	0.00164912591733159	0.973469541791302	0.973468614911831	14879.6148983449	15285.1514016263
gene:Smp_053140	1	1.19831496088331e-18	1.00754710266484	1.00755393678352	594.165290166893	589.710578199236
gene:Smp_053160	1	6.42439593356786e-18	0.927436423341797	0.927344772416593	392.067208052843	422.785512213994
gene:Smp_053220	0.91886438986357	0.0811356101364302	1.09979873289252	1.09981200397439	4416.56587327652	4015.74529028264
gene:Smp_053230	0.983636649095826	0.0163633509041739	1.09077423340228	1.09080006515329	2046.91740508005	1876.52766301563
gene:Smp_053300	1	4.59582436903417e-16	0.288185479008941	0.00738718673751783	0	1.34369530449424
gene:Smp_053390	0.995376820969099	0.00462317903090148	0.959078327152832	0.959071993814362	3309.17030709492	3450.38822707559
gene:Smp_053420	0.972856191202841	0.0271438087971595	1.0760313080921	1.07629670793204	164.644027842214	152.972004524175
gene:Smp_053430	0.754458794724587	0.245541205275413	0.849833797143691	0.849636068640426	344.565505868416	405.54658897556
gene:Smp_053470	0.25448008225885	0.74551991774115	1.26154927434398	1.26222459279682	261.04383738943	206.810433446785
gene:Smp_053510	0.000363964916935799	0.999636035083064	1.21560356964056	1.21569022099937	1615.28568965363	1328.69665713324
gene:Smp_053550	0.730873429726284	0.269126570273716	0.870463093446788	0.870364324677039	609.55988071149	700.351749015482
gene:Smp_053560	1	3.83755239406021e-18	1.03711895336155	1.03747540355592	57.6830125061096	55.599041244128
gene:Smp_053610	0.995900824660076	0.00409917533992423	0.995733386268781	0.995732702866435	3319.68491858626	3333.91175332777
gene:Smp_053640	0.961484045114271	0.0385159548857286	1.08311322430339	1.08340523694454	164.65752207293	151.980701593183
gene:Smp_053700	0.456524508586103	0.543475491413897	0.799134986654492	0.799081092134512	1590.36333553299	1990.2427430411
gene:Smp_053780	0.985903268322263	0.0140967316777371	0.915391787132044	0.915354080867186	1096.81330949602	1198.24030818338
gene:Smp_053790	0.975348129544759	0.0246518704552412	1.35127524687298	1.36257148303524	22.6167209688517	16.5958964616291
gene:Smp_053800	0.991952146945781	0.00804785305421868	1.06655765728069	1.06664260982014	446.251202748488	418.369313408206
gene:Smp_053820	0.776432250109673	0.223567749890327	1.18948542874274	1.18949839680351	9281.38347296353	7802.76930420509
gene:Smp_053830	0.998238780313087	0.00176121968691308	0.991018665311918	0.991017973932642	6874.70337268511	6937.01188407773
gene:Smp_053900	0.988309452219914	0.0116905477800865	1.13745200651795	1.13750038661147	1725.76619803199	1517.15537272832
