	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_003190.1	0.0115439012628156	0.988456098737184	0.49164232272445	0.489308439765875	56.0851219010711	114.63163979659
transcript:Smp_003230.1	0.617974863592792	0.382025136407208	1.34750975660836	1.34762462586455	2145.76513022918	1592.25470713429
transcript:Smp_003230.2	0.236015995581586	0.763984004418414	1.3959387516783	1.39973587941713	76.8094109544649	54.871361608344
transcript:Smp_003250.1	0.000829800892880872	0.999170199107119	0.723890973557252	0.723431624943887	228.859415601647	316.356340245907
transcript:Smp_003250.2	0.999999999999997	2.72584033291492e-15	2.21055813368561	2.39602494649749	8.22119427847478	3.42535416461634
transcript:Smp_003270.1	0.01169372320119	0.98830627679881	1.227432739073	1.22777552880308	428.732196371128	349.192428549047
transcript:Smp_003280.1	1	1.678459705939e-16	1.16370325518102	1.16893538704045	19.2395781562016	16.4576152074909
transcript:Smp_003330.1	1.92477487281906e-07	0.999999807522513	0.601526406384518	0.60098964591739	234.8116253919	390.714910132941
transcript:Smp_003340.1	7.29815097244568e-11	0.999999999927018	1.70043783046635	1.701103012543	942.773004400588	554.208643697073
transcript:Smp_003410.1	0.95782494785586	0.04217505214414	1.03401544242093	1.03402091075309	3385.33266458115	3273.94957796982
transcript:Smp_003410.2	0.532596422747333	0.467403577252667	1.26546558321868	1.27675368676401	15.7932509230515	12.3676818401876
transcript:Smp_003440.1	1.35072806051184e-07	0.999999864927194	0.577133259366359	0.577027514656758	1214.4786973152	2104.72273191771
transcript:Smp_003600.1	0.999999999999999	5.38822388928708e-16	0.5999070718033	0.551013026037571	2.36311531366299	4.29682252782382
transcript:Smp_003610.1	0	1	0.573105123901081	0.572988301768139	1102.02056990589	1923.2937856187
transcript:Smp_003620.1	0.686417221973286	0.313582778026714	1.11786979958829	1.11791957450389	1393.32212076122	1246.35168159016
transcript:Smp_003620.2	0.473985809707949	0.526014190292051	1.7190298159391	1.80451855189287	7.97824600638513	4.41680181813912
transcript:Smp_003630.1	0.0581933313782014	0.941806668621799	1.17844778143887	1.17855927793375	992.77097267822	842.358297688652
