	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean
transcript:Smp_343720.1	0.578430677833122	0.421569322166878	0.225650730711463	0.142317521431403	0.707490297109068	5.03147549713264
transcript:Smp_343720.2	0.899240404484501	0.100759595515499	0.874170337853131	0.873968648784877	295.815358833889	338.475092394549
transcript:Smp_343730.1	0.0830836943579074	0.916916305642093	0.750590424581613	0.750463868390335	802.403801308134	1069.21376293642
transcript:Smp_343730.2	0.99414062607511	0.00585937392488995	1.02295036524038	1.02296527297383	854.422478814496	835.240718072373
transcript:Smp_343740.1	0.0018865043905435	0.998113495609457	1.22937797259507	1.22938146860219	43762.7736940862	35597.3898402992
transcript:Smp_343750.1	0.927321136365662	0.0726788636343381	0.875155381390784	0.875015112927858	422.526488089563	482.880503085974
transcript:Smp_343750.2	0.0521960613681253	0.947803938631875	0.624741297085475	0.62320514162952	82.5872348519531	132.526189666187
transcript:Smp_343760.1	0.984645806659622	0.0153541933403782	0.839782115819474	0.83953450993581	294.722114731002	351.05611013946
transcript:Smp_343760.2	0.850306743762347	0.149693256237653	0.82867417615227	0.828538359603618	567.040364961161	684.38844503089
transcript:Smp_343770.1	1	2.34833059463305e-17	0.908902653936552	0.90877082539324	340.703642338769	374.907011878475
transcript:Smp_343780.1	1	5.9901804815123e-18	1.05894062089861	1.06044257969013	22.5678572089323	21.2809757127346
transcript:Smp_343790.1	0.00154949310565822	0.998450506894342	0.811527280391441	0.811436418966683	913.182479003517	1125.39238231655
