	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_155700.2	0.999999999999994	6.34517231656161e-15	1.22323998010094	1.236180817436	10.417521179946	8.42527179266062
transcript:Smp_155720.1	0.716775125584733	0.283224874415267	1.17151799888154	1.17156667739551	2018.49060294706	1722.89714808853
transcript:Smp_155740.1	3.68681585261044e-09	0.999999996313184	0.74972036992615	0.749655267852799	1409.21962723063	1879.82688991744
transcript:Smp_155740.2	0.271988566741187	0.728011433258813	0.730380754566081	0.650023338222282	1.05645702011179	1.63064420060424
transcript:Smp_155740.3	0	1	0.00425401183825089	8.56113584395805e-05	0	116.796930555335
transcript:Smp_155750.1	9.77889420827882e-06	0.999990221105792	1.29375440280716	1.29394942157583	953.037966278338	736.531900623655
transcript:Smp_155760.1	0.760614687850667	0.239385312149333	0.949943964028523	0.949888288716477	417.585500980067	439.615907531018
transcript:Smp_155770.1	7.41628980449605e-14	0.999999999999926	1.83777362666743	1.83882883089537	713.862989256101	388.211555623805
transcript:Smp_155770.2	0.410987895784682	0.589012104215318	1.5165080270792	1.51782873580227	290.246720033943	191.221535671594
transcript:Smp_155780.1	6.29102608451504e-07	0.999999370897392	1.28830190501571	1.2884008918364	1834.8825480613	1424.15274289128
transcript:Smp_155790.1	0.00015407916436927	0.999845920835631	1.30397317769773	1.30422732000759	762.773109173471	584.844417226158
transcript:Smp_155810.1	0.108001557836473	0.891998442163527	1.21461826482894	1.21470805169241	1419.75109930466	1168.79850285511
transcript:Smp_155840.1	0.999999999999919	8.148780345006e-14	0.780221942593527	0.779171174765726	79.6792839318904	102.264425072065
transcript:Smp_155850.1	6.38922248441531e-12	0.999999999993611	0.397573161252659	0.397083078471178	238.664340590818	601.059029457879
transcript:Smp_155850.3	0	1	0.0219455871327533	0.0182994223188974	2.39023400800293	131.154468810814
transcript:Smp_155850.4	3.44216133374431e-09	0.999999996557839	0.0306205093033779	0.0223810156393062	1.2775454760723	57.5184650537071
transcript:Smp_155860.1	0.990522559379931	0.00947744062006944	0.157948366434765	0.141473103291109	3.52565374200638	24.9817027318689
transcript:Smp_155900.1	0.294528377914263	0.705471622085737	1.39800079076078	1.68380849189077	1.13654785788973	0.670925332905443
transcript:Smp_155970.1	0	1	14.3220970632962	14.6852579704107	263.40746436779	17.9275442296315
transcript:Smp_156000.1	0	1	0.493986424708643	0.493509020405178	255.766368764185	518.271040849444
transcript:Smp_156000.2	0	1	0.461527434169285	0.461397527426737	935.173068545207	2026.83889483657
transcript:Smp_156050.1	0.016021370398539	0.983978629601461	0.476589664553971	0.467771001512444	13.5657028746264	29.0121130226801
transcript:Smp_156060.1	0.0209125080490139	0.979087491950986	0.855158151600344	0.855050841106508	564.320193567511	659.986068581396
transcript:Smp_156100.1	0	1	2.45909933433472	2.46035472442159	1398.2675165279	568.313544019295
transcript:Smp_156140.1	0	1	2.38765538547825	2.39522709790711	214.636442116774	89.6042342011438
transcript:Smp_156150.1	0	1	8.52152380834133	8.56638966415439	702.216456179745	81.9646105081088
transcript:Smp_156160.1	0	1	213.480610549801	10603.3189263217	106.023189263217	0
transcript:Smp_156160.2	0.290883128110985	0.709116871889015	1.45103462199227	1.45147002207314	735.212736455951	506.526632017951
transcript:Smp_156160.3	0	1	0.346033550263737	0.34412985709238	57.7956586607863	167.966295777406
transcript:Smp_156160.4	0	1	0.0107291210735573	0.0002173066303183	0	46.0079240060577
transcript:Smp_156170.1	0	1	1.40439518373039	1.40453161735017	2035.65156324585	1449.34260844209
transcript:Smp_156180.1	0.999999999999879	1.21125979457271e-13	0.378804190353525	0.0120733941863023	0	0.818267498409464
transcript:Smp_156230.1	0	1	3.20787178383797	3.21125073681182	1026.00899782898	319.497594367305
transcript:Smp_156240.1	0.467329186921591	0.532670813078409	1.14134395590122	1.14210500965366	103.708787369757	90.8037049510084
transcript:Smp_156240.2	8.24873642613078e-07	0.999999175126357	0.513520053055549	0.512930330843133	206.89230130851	403.363107159431
transcript:Smp_156240.3	0.999999999992214	7.78638750887578e-12	11.5539104263031	527.617106238364	5.26617106238364	0
transcript:Smp_156250.1	3.62327390313055e-10	0.999999999637673	0.126835287966612	0.1132673390777	3.55431565904255	31.4581680356016
transcript:Smp_156270.1	0	1	0.563607481199166	0.563511098493324	1247.57498672732	2213.93927280585
transcript:Smp_156280.1	0.183870853876348	0.816129146123652	0.817717966700248	0.817100707152494	117.978890696506	144.38944753895
transcript:Smp_156290.1	0	1	1.51177945134409	1.51191949600388	2701.67332535615	1786.91273794796
transcript:Smp_156300.1	1.70916710784397e-08	0.999999982908329	0.593113688040886	0.592934947389479	659.993556136095	1113.10292923768
transcript:Smp_156340.1	0.00017393445782643	0.999826065542174	1.9712585790602	1.9812208484605	94.4393468977339	47.6622960850758
transcript:Smp_156340.2	0	1	0.175510928999169	0.175321813001144	373.740748348816	2131.78833102899
transcript:Smp_156350.1	2.82049005972951e-06	0.99999717950994	1.3245436033829	1.32475676832555	986.230658800184	744.459235697327
transcript:Smp_156370.1	0.999051315943755	0.000948684056244998	2.28479139226108	2.30094045713413	89.5017613698474	38.8922502048298
transcript:Smp_156390.1	1.11022302462516e-16	1	2.24014476560339	2.242803909348	511.449627598322	228.034736977031
transcript:Smp_156390.2	6.61062060647311e-08	0.999999933893794	0.442535916022422	0.440591793750829	61.7659174786477	140.20123033804
transcript:Smp_156400.2	0.999999999999993	7.17442751910705e-15	0.839861518221733	0.829815615876667	6.45811661978871	7.784643166549
transcript:Smp_156410.1	9.27421694996156e-10	0.999999999072578	0.774359573979662	0.774206805458822	559.141514477578	722.215005689799
transcript:Smp_156410.2	0.00836970587372043	0.99163029412628	0.76810345508309	0.767611020565096	176.746940207546	230.258893322327
transcript:Smp_156450.1	0.775353454387627	0.224646545612373	1.0692777032067	1.06929544900865	2041.18761700161	1908.90826846736
transcript:Smp_156460.1	0	1	0.227628584597668	0.226673909699601	89.6630018455309	395.593543276638
transcript:Smp_156460.2	0.184332588415319	0.815667411584681	0.325211821929171	0.222577807364504	0.705562367003234	3.20488640523534
transcript:Smp_156460.3	0.13945561458285	0.86054438541715	2.50339088132962	2.54171319500748	48.7469148706647	19.1726973107881
transcript:Smp_156470.1	1.75311867467443e-07	0.999999824688133	0.274512679266983	0.273572915543264	103.259894319325	377.475812563902
transcript:Smp_156480.1	0	1	8.63773779896167	8.79162143985103	213.358721526831	24.259552890399
transcript:Smp_156480.3	0.286164447036264	0.713835552963736	1.26483378251534	1.27765885403664	12.8908397394217	10.0872491198748
transcript:Smp_156480.4	6.43929354282591e-15	0.999999999999994	2.98448968270561	3.01587562870468	93.2330634402034	30.907410039303
transcript:Smp_156480.5	0	1	17.898979648761	20.1134350658788	75.0432102602866	3.72149638609518
transcript:Smp_156500.1	0	1	13.846185434082	13.9406622667254	926.866243937661	66.4772461726581
transcript:Smp_156500.2	3.91754637618646e-08	0.999999960824536	55.0606976406046	102.440949624974	57.1440958843159	0.547922355206111
transcript:Smp_156520.1	2.15719106677614e-06	0.999997842808933	0.517592082350696	0.515289827243324	52.7861233035105	102.449083242448
transcript:Smp_156520.2	0.999999997864287	2.13571257293213e-09	20.8519778501489	991.570386356362	9.90570386356362	0
transcript:Smp_156520.3	0.999999999997943	2.056931334839e-12	2.1384396894133	2.18533678661756	25.9301167406783	11.8600773718398
transcript:Smp_156540.1	0	1	9.98548114808397	10.0124002190458	1634.20410535324	163.209015381007
transcript:Smp_156550.1	0.00175940647901651	0.998240593520983	5.2773266677285	6.31310597844577	12.7378736711689	2.00927129287751
transcript:Smp_156630.1	0	1	8.54784739378807	8.55673893915151	3551.75013174452	415.073381297679
transcript:Smp_156670.1	2.32120227927624e-07	0.999999767879772	1.4507156143746	1.45088257140167	1915.21432238622	1320.03089106671
transcript:Smp_156720.1	0	1	3.84990562423207	3.8592214044353	577.288492807037	149.579368504114
transcript:Smp_156720.2	0.999999999999543	4.56675946861895e-13	5.46889061385798	223.987892459311	2.22987892459311	0
transcript:Smp_156730.1	0.99999999999993	6.99851132344434e-14	0.463445199992984	0.0170156810142519	0	0.577693198504618
transcript:Smp_156740.1	2.42250663973209e-12	0.999999999997577	2.97831248362918	3.01772548053628	74.0569814748524	24.5339759025695
transcript:Smp_156740.2	6.125867590967e-09	0.999999993874132	7.45750627361343	7.68105816326836	108.48182852198	14.1145940618963
transcript:Smp_156740.3	0.999999999999906	9.43528360360746e-14	2.89417444800579	95.5151726921444	0.945151726921444	0
transcript:Smp_156750.1	7.58557833213658e-08	0.999999924144217	0.37577856674506	0.374005641282505	64.3796160845471	172.152152056713
transcript:Smp_156750.2	0.992199464595402	0.00780053540459763	0.0443000530375096	0.000928106612943158	0	10.7646242301718
transcript:Smp_156780.1	0.512353780031696	0.487646219968304	1.08649588661721	1.08807559549618	29.1217751178349	26.7636683355629
transcript:Smp_156850.1	0.599354282523467	0.400645717476533	1.11798513030584	1.11840587637114	153.344363281169	137.108703076519
transcript:Smp_156860.1	0	1	5.11617648169371	5.14111788843968	414.86769656639	80.6879543299882
transcript:Smp_156870.1	0.580037090896039	0.419962909103961	1.21331839388215	1.21429012527295	130.334892928592	107.332463070177
transcript:Smp_156880.1	0	1	0.497782557919969	0.497743396680428	3121.25291797697	6270.81737569886
transcript:Smp_156890.1	0.999999999999861	1.38810317300924e-13	0.402167138076314	0.0133023790669341	0	0.741745229156573
transcript:Smp_156890.2	0	1	16.0339385113911	17.8610176723207	71.8539507812685	4.01350818411855
transcript:Smp_156900.1	0.144854248141611	0.855145751858389	3.28147744548311	4.05349535494776	5.84744160562093	1.43503473982553
transcript:Smp_156900.2	0	1	0.45946116165747	0.459104126958057	339.863385854713	740.28695203712
transcript:Smp_156910.1	0	1	15.289865154497	15.3734612534481	1284.99039294895	83.5756266695137
transcript:Smp_156910.2	0	1	251.04296169887	12477.5983039761	124.765983039761	0
transcript:Smp_156910.3	5.64971349314991e-06	0.999994350286507	0.602334787741418	0.602268458937828	1765.60105744853	2931.59140008394
transcript:Smp_156910.4	0	1	78.8838338263436	80.0138861138279	2696.50990259071	33.6906491442577
transcript:Smp_156910.5	7.46069872548105e-13	0.999999999999254	0.22737725969205	0.227274460332379	835.241368258167	3675.06799616661
transcript:Smp_156910.6	0	1	168.694910061511	171.936802179592	4348.89229970074	25.2836093062742
transcript:Smp_156930.1	0.999999712271301	2.87728698553524e-07	4.64597005982631	5.02115702753896	23.8493517782277	4.74176371648389
transcript:Smp_156930.2	0.381793185218589	0.618206814781411	2.2213236920628	2.55706376926511	4.53839986925867	1.76875887333301
transcript:Smp_156950.1	0.471476273090508	0.528523726909492	0.912710926700116	0.912649576651049	634.938510506557	695.709941969938
