	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_341420	0.999999999999999	7.27697441941187e-16	0.928054693305632	0.927940650444074	268.029340099112	288.843969239131
gene:Smp_341430	0.552277078311471	0.447722921688529	1.33495695912747	1.33505788652779	2028.71879025001	1519.57114380067
gene:Smp_341440	0.997021587137041	0.00297841286295909	0.995074548998888	0.995069838642052	476.409725378066	478.770188964651
gene:Smp_341450	0.985085469209532	0.0149145307904678	1.13805886239	1.13890304486834	85.2722575423592	74.8710514877657
gene:Smp_341460	0.983783522229754	0.016216477770246	0.979570081589347	0.979348159596589	41.2707308641733	42.1412313671754
gene:Smp_341470	0.993952151878981	0.00604784812101942	0.943210614367187	0.943165571460364	544.458397809844	577.267642743902
gene:Smp_341480	0.978691068130512	0.0213089318694878	1.20789827388444	1.20808544045448	614.408423584458	508.578550949933
gene:Smp_341490	0.999999999999999	1.24885293073288e-15	1.03673997170196	1.03913666189578	7.2836272354293	7.00892975474753
gene:Smp_341500	0.999999999999999	1.15999760780139e-15	0.834181803558988	0.827765840908248	9.78539239379317	11.82353058281
gene:Smp_341510	0.997460420388647	0.00253957961135311	0.990906748624415	0.990902932881744	1081.21283567821	1091.13909220604
gene:Smp_341520	0.999999999999998	2.41697836781318e-15	1.22061151636793	1.22265804718793	60.3374437391369	49.3475811143059
gene:Smp_341530	0.993705713982845	0.00629428601715471	0.949722302821781	0.949687284007485	624.297484059586	657.372166290714
gene:Smp_341540	0.999999999999995	5.38390197822966e-15	1.48784289512259	1.84173748639992	1.1524593217324	0.621175360395515
gene:Smp_341550	0.991650764821217	0.0083492351787826	1.08442738865411	1.08449724737966	600.105894907131	553.348615116005
gene:Smp_341560	0.979934356377772	0.0200656436222283	1.14217852042345	1.14255284834573	198.691909934362	173.900476195528
gene:Smp_341570	0.993686147750815	0.00631385224918489	1.0563843401486	1.05641963933196	772.624840604793	731.361144418876
gene:Smp_341580	0.762842766932021	0.237157233067979	1.11450354066753	1.11455905379184	1052.60682456414	944.414452865942
gene:Smp_341590	0.99423462862061	0.00576537137939042	0.95957071584558	0.959568632755791	8527.22205854126	8886.51647393428
gene:Smp_341600	0.999999999999935	6.48467363566902e-14	0.402190154318469	0.372823965264996	3.46506771581409	9.31093438077157
gene:Smp_341610	1	4.32084474439398e-16	0.953592817775761	0.953559094012956	600.80499538317	630.066310063492
gene:Smp_341620	0.995180809345136	0.00481919065486354	0.938035736679622	0.938031377338744	6104.93568230395	6508.24316699328
gene:Smp_341630	0.997428626701769	0.00257137329823092	0.977737513742855	0.977734168737722	2979.47803766102	3047.32958669728
gene:Smp_341640	0.993336275274788	0.00666372472521252	0.982386545544408	0.982364616748769	361.272103996014	367.757830636767
gene:Smp_341650	0.977901612458383	0.0220983875416166	0.887363824939758	0.887306899390658	803.864961156948	905.961723773358
gene:Smp_341660	0.997108426704822	0.00289157329517751	1.03207344691306	1.03207753613168	3706.46955746107	3591.27013904197
gene:Smp_341670	0.999999999999994	5.81910180394052e-15	0.915951276378283	0.857087269420441	0.550338318700196	0.643770437028069
gene:Smp_341680	0.996376208423858	0.00362379157614242	0.971288460912387	0.971261583461665	475.050135319006	489.106571074342
gene:Smp_341690	1	9.79303570100853e-17	0.994166803090309	0.994164511759019	1158.82334583753	1165.62539749287
gene:Smp_341700	1	1.98235858826937e-16	0.972176685206897	0.972156672241382	618.828979201273	636.553011777198
gene:Smp_341720	0.999999999999994	5.93808106820835e-15	1.14443344950825	1.14469977310578	284.23557283073	248.304518364514
gene:Smp_341730	1.08727271630471e-09	0.999999998912727	1.29137341242846	1.29149824739109	1380.22006529163	1068.69455928205
gene:Smp_341740	0.999924355969232	7.56440307675174e-05	1.0343311616002	1.03435353680973	726.655210349804	702.520792896081
gene:Smp_341750	0.997255614220523	0.00274438577947746	0.918843687101195	0.918395952748528	76.2112083488178	82.983841731017
gene:Smp_341760	0.999999999999997	3.39005096921125e-15	0.817079305892224	0.758930658173602	1.0831236638043	1.43034722017285
gene:Smp_341770	0.999693425363487	0.000306574636513099	0.773383980221191	0.769360115329687	19.8290495912934	25.7764284825734
gene:Smp_341780	0.999999999999998	1.74507153067546e-15	0.802827694029193	0.786607812799695	4.36824922036239	5.55598745794213
