	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_066970.1	1	1.05928276725664e-17	0.72538641252208	0.721162662936569	25.928285602513	35.9573163012801
transcript:Smp_066990.1	0.917890345441594	0.0821096545584061	0.751191831369604	0.751154275970516	2752.98594456873	3665.01066571047
transcript:Smp_067000.1	0.994896288210981	0.00510371178901863	1.01044954246702	1.01045320729322	1593.82835051968	1577.33998416128
transcript:Smp_067000.2	0.981630640574781	0.0183693594252186	0.870781063621485	0.870415872936436	170.369542380925	195.734985447166
transcript:Smp_067000.3	0.992735542955785	0.00726445704421543	1.10696981632222	1.10704052333539	926.492192332348	836.908046632026
transcript:Smp_067010.1	0.969249142871014	0.0307508571289862	1.19084673885862	1.19103586209757	664.878557735862	558.23394453153
transcript:Smp_067010.2	0.891473376975741	0.108526623024259	0.596877493008727	0.596020380199294	155.065912528233	260.175587070663
transcript:Smp_067060.1	0.998646646418433	0.00135335358156692	1.12402017811499	1.12402463026435	17321.3755189717	15410.1376538801
transcript:Smp_067090.1	0.99999999983527	1.64729563780673e-10	0.791910190105419	0.791672121236362	382.795113790906	483.529970048555
transcript:Smp_067090.2	0.457566612191327	0.542433387808673	0.731998543135262	0.731175680834296	131.729466969603	180.164847745598
transcript:Smp_067140.1	0.990780266744071	0.00921973325592923	1.12209939516736	1.12216079336995	1234.50713085228	1100.11498934749
transcript:Smp_067250.1	0.961353402325433	0.0386465976745674	1.30677484625398	1.30798408652921	183.556648397305	140.333181761796
transcript:Smp_067250.2	0.981321780172894	0.0186782198271063	0.951776224905134	0.951594154091938	139.420188107772	146.512745550937
transcript:Smp_067260.1	0.969167373591455	0.030832626408545	1.0631948531101	1.0638471834694	57.0034787097822	53.5817936294674
transcript:Smp_067280.1	0.9553073262483	0.0446926737517003	1.08311561197763	1.08317464099182	843.712702465392	778.925058609597
transcript:Smp_067400.1	0.931532743121209	0.0684672568787909	1.14070062101704	1.14078910427193	1003.50637509195	879.658618269642
transcript:Smp_067420.1	0.707219129194793	0.292780870805207	1.26245239123852	1.26331989298473	211.425392302329	167.354887924618
