	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean
transcript:Smp_303950.1	1	3.76531921034274e-18	0.968697192791311	0.968676856273754	768.381397541436	793.228108833566
transcript:Smp_303970.1	1	1.10464352508548e-16	0.676655173487073	0.667619825021675	12.3025244110321	18.432418798202
transcript:Smp_303980.1	0.991434591262724	0.00856540873727634	0.97214854619176	0.972046768951928	137.0722524382	141.014338351542
transcript:Smp_304000.1	0.987683618655116	0.0123163813448843	0.904454543955183	0.904337692271269	381.058073737721	421.36807258775
transcript:Smp_304030.1	1	1.24352953162521e-17	1.07963503386808	1.07991967129145	155.694258892364	144.171334067339
transcript:Smp_304040.1	1	6.81564178356348e-17	0.687980100844045	0.635195255939525	1.92498301877691	3.03628065257644
transcript:Smp_304050.1	1	1.14131008035726e-16	1.00665327483318	1.01170563572698	0.676581564280214	0.668637678821329
transcript:Smp_304090.1	1	2.83082739196998e-17	0.93673335348957	0.936693438317619	765.112825725948	816.823762709146
transcript:Smp_304090.2	0.965433156759696	0.0345668432403041	1.04917373778258	1.05162777582153	10.8495254872243	10.3163965985882
transcript:Smp_304090.4	0.683268999261187	0.316731000738813	1.42011254753918	1.42148419683484	224.358287792379	157.8308597802
transcript:Smp_304090.5	0.938889233793924	0.061110766206076	1.76220757627325	1.80877930185441	15.2457436030822	8.42427586076509
transcript:Smp_304130.1	0.996939675976927	0.00306032402307319	1.00548338427402	1.00548496365074	1799.00754801785	1789.19383004628
transcript:Smp_304130.2	0.993593554309123	0.00640644569087656	1.2264527431088	1.22722826261988	184.66456107859	150.471020282526
transcript:Smp_304140.1	0.57816192317199	0.42183807682801	1.33168878310459	1.33224500072997	409.408070734905	307.30439826051
transcript:Smp_304210.1	1	1.84908165708328e-16	1.74303516244268	1.81090603521263	10.206890016832	5.63186645699284
transcript:Smp_304220.1	0.998323163358565	0.00167683664143502	1.00286563820479	1.00353555873024	2.20221692125278	2.19442305407879
