	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_345170.1	0	1	2.18331760342667	2.18667465007384	442.018417335416	202.136404048032
transcript:Smp_345180.1	0.850065439985392	0.149934560014608	1.03833445106654	1.03928740711808	23.9658554875752	23.059514095297
transcript:Smp_345180.2	0.999999999999994	6.39022192909014e-15	0.284880104587152	0.244009493488872	2.43847978993832	10.0243628230595
transcript:Smp_345190.1	2.67646904639207e-10	0.999999999732353	0.0836333250597805	0.0795637676079051	10.264472026294	129.125061538654
transcript:Smp_345200.1	1	1.67503783509454e-17	1.58332667622855	1.90968857534961	1.94747852760124	1.01502499772398
transcript:Smp_345210.1	0.666690219375006	0.333309780624994	1.29744621409424	1.30110786201889	60.6032029628578	46.5758402152809
transcript:Smp_345210.2	0.999999999999999	5.3310674158442e-16	0.676522100747589	0.673795793783881	45.8379822703574	68.0343284053256
transcript:Smp_345210.3	0.145916617560227	0.854083382439773	0.38484377867545	0.370195578397671	8.90567952616421	24.0737007420624
transcript:Smp_345220.1	0.816408729409264	0.183591270590736	1.11450491216817	1.11493676089181	169.527112978824	152.049846733563
transcript:Smp_345230.1	0.928963704952489	0.0710362950475105	0.9722250329775	0.972213030267442	1290.19210184476	1327.06756600407
transcript:Smp_345240.1	0.700059716688125	0.299940283311875	0.8476090469749	0.77766704783695	0.961710535136778	1.23952000710272
transcript:Smp_345240.2	1	5.20342209288546e-17	0.94261148158479	0.86310906157799	0.347299502332468	0.403967965623291
transcript:Smp_345250.1	0.781422302686901	0.218577697313099	0.798887147433698	0.785147174146383	6.58063226882808	8.3841361388627
transcript:Smp_345260.1	0	1	0.707852880001901	0.70775421895149	1201.86807335611	1698.14741280447
transcript:Smp_345270.1	0.877659911319142	0.122340088680858	1.11258992402602	1.11270966035311	600.026298628768	539.24684301002
transcript:Smp_345280.1	0.975856169192152	0.024143830807848	1.05343020793311	1.05349334017361	511.306170149987	485.343016152643
transcript:Smp_345290.1	1	1.11367776583237e-16	0.499239909324029	0.450065141111427	2.6183599171242	5.82995443555907
transcript:Smp_345300.1	0.889060570404464	0.110939429595536	0.911720328980858	0.911523967727157	235.004724467815	257.81616013248
transcript:Smp_345300.2	0.384071970003748	0.615928029996252	0.517887625127356	0.468496507600615	2.61257462639021	5.58785309782054
transcript:Smp_345310.1	0.00804456488973693	0.991955435110263	0.697912683663858	0.69752658655493	312.971579388929	448.692007094438
transcript:Smp_345320.1	0.118850210705476	0.881149789294524	0.405392948082608	0.402295183953679	44.2741806114673	110.068823654439
transcript:Smp_345320.2	0.177427934895323	0.822572065104677	1.2869001031773	1.28725509884988	596.605231957842	463.468631773063
transcript:Smp_345330.1	0.00863034343169256	0.991369656568307	1.22569748750587	1.22590587057548	761.443678266939	621.125518267393
transcript:Smp_345340.1	0.999999999999999	6.49785064693912e-16	0.816791593326149	0.816414923583207	227.718647927562	278.927389983112
transcript:Smp_345350.1	0.168128682515082	0.831871317484918	1.66486549513949	1.66919001973203	147.161350015855	88.1593206142473
transcript:Smp_345350.2	5.07485034151323e-06	0.999994925149658	1.89057882794335	1.89456505236037	242.730484251415	128.114650008187
transcript:Smp_345360.1	0	1	0.367903237435482	0.366475863644277	93.0607675654637	253.951520521318
transcript:Smp_345370.1	0.879558854250821	0.120441145749179	1.08329486257796	1.08337170409597	673.465558837474	621.637728375424
transcript:Smp_345370.2	0.905366549317998	0.0946334506820022	0.962594238329955	0.962483300279175	186.101515372207	193.355968342748
transcript:Smp_345370.3	0.941660123305683	0.0583398766943174	1.12854116822738	1.12882629632993	291.834428874222	258.527943192033
transcript:Smp_345380.1	0.891166192661591	0.108833807338409	1.30369900317672	1.31825424171643	15.7641253400612	11.9559204126835
transcript:Smp_345390.1	0.863885715946853	0.136114284053147	1.03226686043173	1.03235542559391	215.687496126336	208.927242715847
transcript:Smp_345400.1	0.895933728673834	0.104066271326166	1.06121953882364	1.06134731276464	291.616750684332	274.760329351183
transcript:Smp_345400.2	0.603202698645132	0.396797301354868	1.02262121646025	1.02364829625757	12.919585652695	12.6208867019709
transcript:Smp_345410.1	5.26641508180603e-10	0.999999999473358	0.728696883283864	0.728535461727226	702.198397551177	963.853029929068
transcript:Smp_345420.1	0.844915511302103	0.155084488697897	0.83743521373429	0.836794691739	121.786109759563	145.540767663751
transcript:Smp_345420.2	0.999999999998784	1.21595910145237e-12	1.947045170099	1.97251089755879	42.0584091106825	21.3173392622303
transcript:Smp_345430.1	0.810647250305739	0.189352749694261	1.15531166908089	1.15673951696976	72.1472189296351	62.3698338961054
transcript:Smp_345430.2	0.911601561637796	0.0883984383622041	0.966591239728607	0.966548922465775	437.601476633831	452.746675282855
transcript:Smp_345440.1	0	1	1.60482342742142	1.60492733699689	5357.34566986091	3338.05742919931
transcript:Smp_345450.1	2.44972217555706e-06	0.999997550277824	1.46223578243788	1.46258666546219	1104.94574614401	755.470527914449
transcript:Smp_345460.1	0.886931883237448	0.113068116762552	1.01022556832509	1.01024699485501	276.483707119589	273.679215140177
transcript:Smp_345470.1	0.976430314402899	0.0235696855971015	0.898758471715518	0.898446672025177	167.290557433287	186.200893359065
transcript:Smp_345480.1	0.0356482392945511	0.964351760705449	1.7370908288774	1.75228094469926	48.7524739529439	27.8179998994756
transcript:Smp_345480.2	0.00325663151993172	0.996743368480068	0.238491536883386	0.210913420452556	3.32992272791109	15.8255154486833
transcript:Smp_345490.1	2.51698629494257e-05	0.999974830137051	1.87940747620324	1.88173679636741	407.409597476787	216.502531541759
transcript:Smp_345490.2	0.635691135420795	0.364308864579205	0.690595627633566	0.68954032478705	115.929407598896	168.130141237863
transcript:Smp_345500.1	0.758883090286805	0.241116909713195	1.40125560417029	1.40139264113	2353.2250030344	1679.20175976555
transcript:Smp_345510.1	5.24665279000303e-08	0.999999947533472	1.69225192336513	1.69301360621433	882.404251486937	521.199190669215
transcript:Smp_345510.2	0.596272670927476	0.403727329072524	0.815033866829693	0.806531073569547	10.0517558048902	12.465347986729
transcript:Smp_345510.3	0.845670385789172	0.154329614210828	1.43083758171572	1.43297643274531	165.526649642517	115.509450187593
transcript:Smp_345520.1	0.999999760593368	2.39406631535513e-07	0.769023113847629	0.768802860903405	462.353839283927	601.397542553383
transcript:Smp_345530.1	1.41708866863155e-11	0.999999999985829	0.52392320813656	0.523292474678578	226.505383322184	432.855738154016
transcript:Smp_345540.1	0.475756861520892	0.524243138479108	1.36594555761282	1.3667254802139	367.753255839593	269.073485428278
transcript:Smp_345540.2	0.00778656894530261	0.992213431054697	2.54426780568187	2.55437609889788	223.785680034421	87.6026581872498
transcript:Smp_345540.3	0.732723378632876	0.267276621367124	0.73319879030694	0.729996616269643	34.8707472473602	47.772067026015
transcript:Smp_345550.1	0.698840474625866	0.301159525374134	0.640591523492099	0.639927718220994	198.691255642934	310.495780551787
transcript:Smp_345550.2	4.68978454620794e-05	0.999953102154538	2.32863548271227	2.33211339243765	510.917496095691	219.073470706217
transcript:Smp_345550.3	0.598843155863265	0.401156844136735	0.5858207310163	0.563299236977193	5.93090206978695	10.5366183509627
transcript:Smp_345560.1	0.02267709440638	0.97732290559362	1.28020786250668	1.28091948790189	289.239610682045	225.804044843542
transcript:Smp_345560.2	0.905934782115991	0.0940652178840092	0.91152468589707	0.911285713968818	193.477029881732	212.313124258209
transcript:Smp_345560.3	0.939552089936548	0.0604479100634524	1.01198892266682	1.01200664113386	392.688685013941	388.029632401974
transcript:Smp_345560.4	0.99999999991601	8.39902788312040e-11	1.85403575217016	1.86724429631189	69.2279677613632	37.0702941522539
transcript:Smp_345560.5	0.999999292982131	7.070178694433e-07	1.72150456302388	1.72536658585519	184.843509002553	107.128686072867
transcript:Smp_345570.1	1	4.10147217824709e-16	1.09064710843636	1.09068264326825	1595.57579988215	1462.91398593686
transcript:Smp_345580.1	1	3.81582301984517e-16	0.883663757201832	0.883520843960194	412.4496168977	466.826317125171
transcript:Smp_345590.1	1	2.28436256051774e-16	0.695319555438616	0.0376398422317421	0	0.255675927609678
transcript:Smp_345600.1	0.388323568832329	0.611676431167671	1.08098579646151	1.0810225778454	1365.00564024906	1262.69779928545
transcript:Smp_345610.1	0.54203296550328	0.45796703449672	1.73977565054438	1.77130555899567	23.8237774202979	13.445486152153
transcript:Smp_345620.1	0	1	2.06330728903306	2.06684839965514	355.908031425794	172.193259554586
transcript:Smp_345630.1	0	1	1.69791249184413	1.69807820327253	4101.35356576758	2415.28722121363
transcript:Smp_345630.2	0.000171862149915603	0.999828137850084	2.07106469824839	2.07142689764553	3512.84047513792	1695.85022037793
transcript:Smp_345640.2	1	5.66438989222673e-17	0.857541031016771	0.621248248631459	0.20479619752985	0.335749381190245
transcript:Smp_345640.3	0.894661017625039	0.105338982374961	0.654503523439155	0.63442958622797	6.25205041807818	9.86036316403446
transcript:Smp_345650.1	0.00156467230710344	0.998435327692897	0.134923486479178	0.111108169498579	2.30454814194958	20.8214847809565
transcript:Smp_345660.1	0.999999999999945	5.50226181612112e-14	0.0867559096273275	0.00162545889507981	0	6.14210881694364
transcript:Smp_345670.1	0.00178091233708211	0.998219087662918	23.547012265589	50.043468622805	24.4114069547334	0.478003881961222
transcript:Smp_345670.2	0.000111179676888229	0.999888820323112	1.44096814302656	1.44132914120153	1009.67858793155	700.516034663983
transcript:Smp_345680.1	1.2456646825143e-10	0.999999999875434	1.82300782994963	1.82394004208032	923.457988779062	506.293917603448
transcript:Smp_345680.2	0.5064346799683	0.4935653200317	0.69175630230482	0.673154055535097	6.38683784789409	9.49278438537992
transcript:Smp_345680.3	0.552936868026903	0.447063131973097	1.52366595969256	1.52661379150734	155.515961378669	101.86642889372
transcript:Smp_345680.4	0.532464560953721	0.467535439046279	1.73964346865616	2.06563975089847	2.67773491257185	1.29116343442887
transcript:Smp_345690.1	0.0002341273079699	0.99976587269203	0.667702359744277	0.667506644142369	649.939289190165	973.687108326522
transcript:Smp_345700.1	1	1.05746583071703e-17	1.24162451350301	1.24409023420935	69.9051127185475	56.1877827621001
transcript:Smp_345700.2	0.376597487412854	0.623402512587146	1.45390375339973	1.46925909077868	24.8971977229156	16.9422161742864
transcript:Smp_345710.1	0.999782661902505	0.000217338097494619	1.22177476786554	1.2219067496402	1177.48291940282	963.64202970647
transcript:Smp_345720.1	7.19233498092109e-07	0.999999280766502	2.15950227624214	2.16434813859461	296.98539913037	137.211639085854
transcript:Smp_345720.2	0.999999999954984	4.50161572604164e-11	15.4544456632485	844.395237617048	8.43395237617048	0
transcript:Smp_345730.1	1	6.18462053245644e-17	0.399662268281868	0.0112808224373417	0	0.876460189896979
transcript:Smp_345740.1	0.178731221280187	0.821268778719813	1.68242246921237	1.68653805949306	160.366009062301	95.0818410406382
