	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_340410.2	0.329511798211008	0.670488201788992	4.1597809881985	4.22436206376034	120.207832087904	28.4482216849309
transcript:Smp_340410.3	0.999999922632669	7.73673308389248e-08	0.0324677125760998	0.00056686636203284	0	17.6308421274796
transcript:Smp_340410.4	0.970953103429398	0.0290468965706018	0.92488732920341	0.924721812853596	244.074081404879	263.944064900514
transcript:Smp_340420.1	0.991937415984198	0.00806258401580176	1.06870029780348	1.06873588521125	1200.01061604535	1122.8311365715
transcript:Smp_340430.1	0.987175741610646	0.0128242583893543	1.04792861278998	1.04797921288333	577.357401339685	550.924020676956
transcript:Smp_340440.1	0.000123364921834734	0.999876635078165	0.570587446590892	0.570099823122469	291.999575894982	512.197799496638
transcript:Smp_340450.1	1	1.46891247962875e-19	1.07319254539021	1.07333954402687	310.837031169289	289.597359478322
transcript:Smp_340460.1	0.997820850793788	0.00217914920621182	0.901575910632541	0.89909219062436	20.7133062477712	23.0391449752003
transcript:Smp_340470.1	0.968235832291744	0.0317641677082555	0.928954713805313	0.928773003613256	211.203471261556	227.401294729563
transcript:Smp_340480.1	0	1	0.646691076723665	0.646449161312658	549.127999321055	849.458190516318
transcript:Smp_340490.1	0.921287871843657	0.0787121281563428	1.4412074029642	1.44677042188338	66.730264785777	46.1205150950596
transcript:Smp_340500.1	0.840096456939331	0.159903543060669	0.393527234727548	0.327453299663774	1.73818162813051	5.32872045242948
transcript:Smp_340500.2	0.19858360590932	0.80141639409068	0.849815495497666	0.849724361480625	814.466826076968	958.508859760312
transcript:Smp_340500.3	0.837979861118829	0.162020138881171	0.529937984895729	0.527118261324612	51.1008066735915	96.952693998029
transcript:Smp_340500.4	0.443326607115286	0.556673392884714	1.89278271132966	1.90213783118806	105.573109675066	55.4976019959708
transcript:Smp_340500.5	1	1.23478912886528e-16	6.26173006995045	312.306255268439	3.11306255268439	0
transcript:Smp_340500.6	0.863472580939275	0.136527419060725	0.718548534322143	0.71368176365089	23.9961923812407	33.6271105497153
transcript:Smp_340510.1	0.985585860105733	0.014414139894267	1.15139257661239	1.15168556898701	346.119199524032	300.531405436276
transcript:Smp_340510.2	0.973248976546418	0.0267510234535823	1.08676393149809	1.08681229499076	1134.03988532845	1043.45435033484
transcript:Smp_340520.1	0.990213969869632	0.00978603013036802	1.00984633506373	1.0098521098946	1001.48588295515	991.715296350254
transcript:Smp_340520.2	0.985642492323942	0.014357507676058	1.02366901708626	1.02370346416916	409.116863105585	399.643686272943
transcript:Smp_340530.1	0.982320814396209	0.0176791856037909	0.843933766857098	0.843770366263926	468.733909864889	555.524928229833
transcript:Smp_340540.1	0.987830007973268	0.012169992026732	0.826442439574618	0.826118251839342	257.233982154477	311.378813383225
transcript:Smp_340550.1	1	2.27289292568779e-16	0.235420362793302	0.16815382695185	1.10169709477111	6.60119116301434
transcript:Smp_340560.1	1	8.60397809869435e-19	0.888703146414916	0.868713233722857	2.80322505783477	3.22838172210033
transcript:Smp_340570.1	0.944810118751425	0.055189881248575	0.986169321068593	0.985457509874999	11.1271133549881	11.2914647951699
transcript:Smp_340580.1	0.90027780226412	0.0997221977358804	0.83256365650394	0.832410668321774	529.879769357233	636.562535075199
transcript:Smp_340590.1	0.979631036996307	0.0203689630036932	1.05071732388541	1.05074376689742	1172.18072341156	1115.57189573919
transcript:Smp_340600.1	0.21205312333984	0.78794687666016	1.13276919728875	1.13280882313269	2207.64638561584	1948.82403142178
transcript:Smp_340610.1	0.883558943797454	0.116441056202546	0.766778371313215	0.766454584971617	321.099220080802	418.944007682913
transcript:Smp_340610.2	0.608711109031303	0.391288890968697	0.708005811083817	0.707481892711074	229.331135835407	324.155378928033
transcript:Smp_340620.1	0.995886601594327	0.00411339840567312	1.08835409486455	1.09331779508357	11.3094051461362	10.3432616015556
transcript:Smp_340630.1	0.607619203919544	0.392380796080456	1.43042370387024	1.43045280457285	12306.142403589	8602.96687854426
transcript:Smp_340650.1	0.885040960133983	0.114959039866017	1.09704673730716	1.1286287429721	2.0071973474435	1.7772992868598
transcript:Smp_340650.2	0.938700394611127	0.0612996053888727	0.819193910103375	0.818099287225884	78.5878376431634	96.063714853955
transcript:Smp_340660.1	1	1.97722102748768e-18	0.556437799709189	0.43534215992226	0.917497613508434	2.12050262275094
transcript:Smp_340670.1	0.992018882670532	0.00798111732946773	1.08640595633165	1.08642283646413	3234.60626959689	2977.29879822471
transcript:Smp_340680.1	0.973447791232647	0.0265522087673531	1.12047097255462	1.1209788435604	154.651587234777	137.960121490918
transcript:Smp_340680.2	0.0263484615235542	0.973651538476446	0.193839899546381	0.178225647030105	5.34212627359315	30.0200566320239
transcript:Smp_340690.1	0.912346468022927	0.0876535319770728	1.2313737854515	1.23529329156619	42.4039713567782	34.3251426307859
transcript:Smp_340700.1	0.965323352629538	0.0346766473704616	0.916606110100239	0.91656172025296	1001.53010915998	1092.70431157256
transcript:Smp_340710.1	0.999837385835719	0.000162614164280916	0.914973036023407	0.914720175423319	178.893903348477	195.573204738743
transcript:Smp_340720.1	0.96751783753936	0.0324821624606395	0.936090083033644	0.935940833981342	233.100113974846	249.055010854621
transcript:Smp_340730.1	0.999999999999996	4.28918755193661e-15	1.14905097431941	1.14918991893577	717.025987209643	623.939075252654
transcript:Smp_340740.1	0.991128005312836	0.0088719946871641	0.853276098063478	0.849362724785382	18.512467461142	21.7974880385436
transcript:Smp_340750.2	1	1.84410184861043e-19	0.973987441023515	0.973670204388941	46.4273762969022	47.6831265715844
transcript:Smp_340760.1	0.946522128107742	0.0534778718922576	0.854165460744766	0.853347131737317	88.4433388976078	103.644580425585
transcript:Smp_340760.2	0.966704686933924	0.0332953130660765	0.897531068259664	0.897488841524003	1266.73677371997	1411.42456621582
transcript:Smp_340760.3	0.99038533662999	0.00961466337000976	1.22591149913785	1.22609611619192	872.654054962837	711.731961693187
transcript:Smp_340760.4	0.893758961933262	0.106241038066738	0.803477154896231	0.801866232008451	56.8879037129489	70.9468522051808
